Date,Current
1/1/2012,973
4/1/2012,994
7/1/2012,985
10/1/2012,962
1/1/2013,972
4/1/2013,981
7/1/2013,1020
10/1/2013,1002
1/1/2014,981
4/1/2014,988
7/1/2014,1071
10/1/2014,1220
1/1/2015,1310
4/1/2015,1372
7/1/2015,1490
10/1/2015,1544
1/1/2016,1601
4/1/2016,1688
7/1/2016,1710
10/1/2016,1804
1/1/2017,1843
4/1/2017,1895
7/1/2017,1924
10/1/2017,1947
1/1/2018,1980
4/1/2018,2082
7/1/2018,2288
10/1/2018,2198
1/1/2019,2470
4/1/2019,2678
7/1/2019,2860
10/1/2019,3042
1/1/2020,3367
4/1/2020,3589
7/1/2020,3513
